"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,24898.34663,22508.29113,254.3285,67430.14069,0.00001,67.28633,5.03276
1,60460.32698,22763.83697,166.93666,11039.19883,326.96282,51.85585,10.16327
1,96724.03019,23154.83237,178.73243,18819.69744,251.12511,58.72494,7.75205
1,133498.47095,23045.43598,193.52997,21093.33554,250.65458,59.43498,8.18037
1,165538.38664,22738.29297,269.75302,67716.15917,9.023,53.75748,4.55836
1,201889.57845,23988.95307,215.79326,25107.54767,190.78979,45.45673,6.61585
1,238895.07266,22983.96388,207.67392,18238.4043,226.62855,56.13116,10.23879
1,274484.04679,22927.29757,141.92854,11718.8566,385.85296,63.89947,8.56386
2,24890.69902,22500.85011,223.78611,43836.31588,212.43779,74.4001,6.57129
2,60498.74463,22746.20549,188.98432,19307.35482,319.65047,53.4336,7.69766
2,96748.8757,23145.46257,178.06428,19341.33988,322.93995,68.3182,8.66092
2,133500.53637,23016.36166,333.20104,107287.94661,0.00002,59.91448,4.8492
2,133544.34684,22991.8966,213.37148,27084.25831,273.28398,57.27795,7.47356
2,165554.46256,22759.64862,244.48268,45770.42675,176.48544,49.41746,5.09197
2,201871.44633,24020.14478,296.50657,67918.77013,71.49954,48.00334,4.90782
2,238898.83567,23005.8544,392.21932,124055.743,0.00001,45.12583,4.44801
2,238922.23061,22946.08932,326.92528,86492.78504,0,43.70169,4.3125
2,274473.56809,22923.94752,242.644,67138.15584,61.1401,67.94579,4.65929
3,24897.13041,22494.56093,252.92632,72209.42999,0.00001,75.71984,5.20653
3,60483.40363,22762.50614,301.26087,81639.6965,0.00001,52.34655,4.59143
3,96757.3222,23160.6635,202.72921,26791.69691,239.47171,61.03027,7.26683
3,133491.66938,23029.89631,280.08401,75429.14252,0.09202,62.1161,5.04548
3,165528.55818,22739.03552,222.85113,35091.37706,214.52997,49.79246,5.54537
3,201892.05185,24019.96039,305.4863,78086.83633,0.7563,50.20979,4.73626
3,274464.99625,22944.18638,181.24571,24384.71934,321.3197,58.10248,6.12715
4,24879.48873,22475.39346,278.88073,108571.02081,0,86.5459,4.79996
4,60479.58464,22738.01153,201.18023,20048.52312,419.0879,42.88281,6.80908
4,96753.70927,23178.60055,161.16527,13251.64419,517.56033,68.39539,10.36109
4,133495.74343,23040.67274,300.20499,77915.66483,189.17872,54.9534,4.9868
4,165531.30468,22742.87716,343.73726,134228.56216,7.21574,58.96298,4.09055
4,238894.2917,22997.73137,223.73257,27392.1315,348.29209,43.43277,6.24977
4,274484.71308,22939.43218,193.77198,27999.67178,424.24346,62.56767,6.53208
5,24895.41729,22509.19951,211.02519,38854.84689,229.20867,64.17436,5.73463
5,60498.46666,22784.6779,264.3851,42972.91602,231.98233,51.08211,6.48088
5,60477.75674,22773.70145,310.71877,90037.13092,1.6058,47.99399,4.10105
5,96719.83329,23142.71002,164.03382,16771.727,332.22251,61.16781,7.64305
5,165533.49706,22773.51967,149.26761,11047.24384,418.14743,60.02845,9.41694
5,201872.70828,24016.18031,341.20485,100591.88032,0,51.06908,4.66126
5,201912.64303,24015.34723,176.74695,14762.7272,305.71813,43.3915,7.22261
5,238907.5108,23010.71069,172.69238,10115.97997,375.20698,47.57763,10.88428
5,274457.11516,22922.72057,220.30644,41744.75399,227.6345,62.28944,5.65058
6,24926.26399,22527.9731,259.93148,65518.5162,37.23597,77.74998,6.18911
6,60474.2281,22728.28729,258.79947,47642.67399,89.74957,53.28049,5.85573
6,96747.56451,23134.01728,144.99764,10193.35424,341.18675,52.26768,8.44058
6,96793.59802,23205.80501,169.29543,12668.46928,310.73122,56.3181,9.87728
6,133506.86912,23058.26162,287.75344,72432.97261,0,47.84889,4.34841
6,165560.02477,22738.33831,210.33913,29003.28435,224.53992,58.77376,6.9691
6,201855.7221,24017.00426,287.11195,66931.07553,0,44.76672,4.39654
6,238887.84731,23000.41883,220.74041,20657.06618,239.25526,41.89478,7.7315
6,274460.14672,22925.0006,225.90901,44079.48591,156.43039,55.48436,5.05118
7,24897.053,22488.68369,168.69496,20572.60945,280.65471,62.79706,6.77664
7,60465.09842,22752.41727,325.27748,84977.52795,5.72959,49.69929,4.8776
7,96743.61269,23150.93,166.92504,15160.08448,287.70486,62.42795,8.89846
7,133511.31169,23037.09591,297.56505,77982.64307,0.00001,50.1657,4.50768
7,165534.55845,22747.85833,171.38539,17032.27337,288.72525,61.37363,8.21954
7,201860.18982,24021.79727,222.1821,27831.13624,176.76167,59.27878,8.13241
7,238894.83332,23048.39675,370.92573,99854.10512,0,49.67011,5.36777
7,238913.17112,23040.01395,319.33827,75386.70628,0.00002,53.3061,5.63436
7,274468.93005,22934.67645,178.10583,21158.46482,305.23874,58.42709,6.83626
8,24849.67655,22454.76878,179.82887,19007.98681,317.0943,79.87903,10.44878
8,24897.02401,22492.47237,273.77169,77375.45681,0.00001,84.18941,6.27856
8,60472.94264,22765.75582,292.90789,71832.32813,0.14948,62.58826,5.80744
8,96735.24687,23149.72289,162.8276,12731.02438,318.78385,63.21126,10.18739
8,96794.65584,23228.01604,177.04797,18256.70505,250.81058,61.10151,8.14319
8,133488.1815,23020.09455,278.64769,62604.6902,57.97985,57.64826,5.57926
8,165508.91508,22731.61991,200.31817,21447.81781,269.39652,53.40035,7.77
8,165530.48355,22740.46144,323.81736,91742.73276,10.35768,49.51403,4.4799
8,201860.68883,24018.47802,245.88391,36308.4836,154.02272,46.69125,6.10246
8,238881.32125,23018.10577,241.90304,27408.67254,196.72611,49.68359,8.22895
8,274448.27724,22935.19712,236.47782,52575.40011,84.50937,60.54623,5.04404
